Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.075000,-98.450000,180.000000,top
"C2","C_1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.107500,-97.050000,180.000000,top
"C3","C_1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.282500,-103.200000,180.000000,top
"C4","C_27pF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.832500,-110.200000,0.000000,top
"C5","C_27pF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.762500,-103.205000,0.000000,top
"C6","C_22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.650000,-102.500000,90.000000,top
"C7","C_100nF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.225000,-112.525000,0.000000,top
"C8","C_10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.237500,-103.825000,180.000000,top
"C9","C_10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",156.800000,-114.625000,180.000000,top
"D1","LED_G","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",144.480000,-115.370000,270.000000,top
"D2","LED_G","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.525000,-104.200000,0.000000,top
"D4","LED_G","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",156.825000,-112.925000,180.000000,top
"D5","D_SM4007PL","D_SOD-123F",140.850000,-71.275000,0.000000,top
"D6","D_SM4007PL","D_SOD-123F",147.250000,-71.250000,0.000000,top
"D7","D_SM4007PL","D_SOD-123F",153.575000,-71.225000,0.000000,top
"D8","D_SM4007PL","D_SOD-123F",159.360000,-71.310000,180.000000,top
"D9","D_SM4007PL","D_SOD-123F",159.900000,-78.270000,180.000000,top
"EN1","SW_PUSH_SM","SW_SPST_TL3342",150.400000,-114.575000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",139.100000,-113.875000,0.000000,top
"J3","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",139.450000,-59.900000,0.000000,top
"J4","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",153.975000,-66.800000,0.000000,top
"J5","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",153.975000,-59.900000,0.000000,top
"J6","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",139.450000,-66.800000,0.000000,top
"PROG1","SW_PUSH_SM","SW_SPST_TL3342",150.400000,-108.160000,0.000000,top
"Q1","Crystal_12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",142.970000,-106.630000,90.000000,top
"Q2","Q_SS8050","SOT-23",146.975000,-99.600000,270.000000,top
"Q3","Q_SS8550","SOT-23",143.350000,-99.600000,270.000000,top
"Q4","Q_MMBT5551","SOT-23",141.345000,-74.280000,0.000000,top
"Q5","Q_MMBT5551","SOT-23",158.400000,-99.655000,270.000000,top
"Q6","Q_MMBT5551","SOT-23",147.745000,-74.275000,0.000000,top
"Q7","Q_MMBT5551","SOT-23",150.700000,-99.605000,270.000000,top
"Q8","Q_MMBT5551","SOT-23",154.310000,-99.600000,90.000000,top
"Q9","Q_MMBT5551","SOT-23",154.000000,-74.275000,0.000000,top
"Q10","Q_MMBT5551","SOT-23",160.510000,-94.740000,270.000000,top
"Q11","Q_MMBT5551","SOT-23",159.820000,-74.440000,90.000000,top
"Q12","Q_MMBT5551","SOT-23",160.265000,-87.930000,270.000000,top
"Q13","Q_MMBT5551","SOT-23",159.930000,-81.420000,90.000000,top
"R1","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.760000,-112.377500,270.000000,top
"R2","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.937500,-102.780000,0.000000,top
"R3","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.250000,-112.675000,0.000000,top
"R4","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.252500,-111.200000,0.000000,top
"R5","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.875000,-108.175000,90.000000,top
"R6","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.962500,-97.295000,180.000000,top
"R7","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.352500,-97.275000,0.000000,top
"R8","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.875000,-105.577500,90.000000,top
"R10","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.950000,-74.927500,270.000000,top
"R11","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.350000,-97.250000,180.000000,top
"R12","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.447500,-102.000000,180.000000,top
"R13","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.275000,-74.922500,270.000000,top
"R14","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",150.477500,-97.275000,0.000000,top
"R15","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",154.280000,-102.000000,0.000000,top
"R16","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",151.640000,-102.040000,180.000000,top
"R17","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",151.500000,-74.897500,270.000000,top
"R18","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",154.472500,-97.250000,180.000000,top
"R19","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.500000,-92.480000,0.000000,top
"R20","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",157.370000,-75.032500,270.000000,top
"R21","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",161.122500,-97.075000,0.000000,top
"R22","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.202500,-85.600000,180.000000,top
"R23","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.427500,-83.780000,0.000000,top
"R24","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.272500,-90.250000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",146.855000,-86.500000,90.000000,top
"U2","CH340T(SSOP20W)","SSOP-20W",136.575000,-105.900000,0.000000,top
"U3","REG_AMS1117-3.3","SOT-223-3_TabPin2",158.650000,-107.505000,270.000000,top
