Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.720000,-97.180000,180.000000,top
"C2","C_1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.137500,-98.550000,180.000000,top
"C3","C_1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.970000,-104.210000,180.000000,top
"C4","C_27pF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.992500,-107.960000,180.000000,top
"C5","C_27pF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.972500,-109.410000,180.000000,top
"C6","C_22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.210000,-101.090000,180.000000,top
"C7","C_100nF_0402","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.912500,-106.480000,180.000000,top
"C8","C_10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.730000,-100.110000,0.000000,top
"C9","C_10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.170000,-103.690000,180.000000,top
"C10","C_10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.230000,-110.682500,-90.000000,top
"C11","22nF","C_0402_1005Metric",159.040000,-107.600000,-90.000000,top
"C12","C_22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",162.790000,-102.110000,0.000000,top
"D1","LED_G","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.302500,-115.745000,-90.000000,top
"D2","LED_G","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",154.220000,-106.765000,90.000000,top
"D3","BAT54C","SOT-23",134.160000,-70.100000,0.000000,top
"D4","LED_G","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.695000,-97.430000,0.000000,top
"D5","D_SM4007PL","D_SOD-123F",163.440000,-64.130000,180.000000,top
"D6","D_SM4007PL","D_SOD-123F",146.390000,-66.660000,0.000000,top
"D7","D_SM4007PL","D_SOD-123F",151.380000,-66.690000,0.000000,top
"D8","D_SM4007PL","D_SOD-123F",143.897500,-73.982500,90.000000,top
"D9","D_SM4007PL","D_SOD-123F",151.450000,-73.890000,90.000000,top
"EN1","SW_PUSH_SM","SW_SPST_TL3342",150.080000,-114.465000,0.000000,top
"J2","USB_MINI_B","USB-mini-B-0548190519",143.924900,-116.080100,90.000000,top
"J3","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",162.950000,-76.985000,90.000000,top
"J4","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",162.970000,-91.575000,90.000000,top
"J5","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",156.970000,-62.375000,-90.000000,top
"J6","Molex_Blade_6pin","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",140.360000,-62.430000,90.000000,top
"J7","Conn_01x01_Female","Mount_Hole_1p5",132.500000,-56.950000,0.000000,top
"J8","Conn_01x01_Female","Mount_Hole_1p5",132.525000,-115.900000,0.000000,top
"J9","Conn_01x01_Female","Mount_Hole_1p5",164.480000,-56.940000,0.000000,top
"J10","Conn_01x01_Female","Mount_Hole_1p5",164.490000,-115.900000,0.000000,top
"L1","10uH","L_4x4",162.900000,-105.830000,90.000000,top
"PROG1","SW_PUSH_SM","SW_SPST_TL3342",148.920000,-108.000000,0.000000,top
"Q1","Crystal_12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",133.700000,-111.940000,180.000000,top
"Q2","Q_SS8050","SOT-23",147.380000,-100.397500,-90.000000,top
"Q3","Q_SS8550","SOT-23",143.700000,-100.442500,-90.000000,top
"Q4","Q_MMBT5551","SOT-23",163.070000,-60.830000,180.000000,top
"Q5","Q_MMBT5551","SOT-23",134.340000,-64.890000,180.000000,top
"Q6","Q_MMBT5551","SOT-23",146.770000,-69.880000,0.000000,top
"Q7","Q_MMBT5551","SOT-23",163.530000,-67.710000,180.000000,top
"Q8","Q_MMBT5551","SOT-23",134.340000,-60.940000,0.000000,top
"Q9","Q_MMBT5551","SOT-23",151.870000,-69.770000,0.000000,top
"Q10","Q_MMBT5551","SOT-23",157.300000,-74.940000,-90.000000,top
"Q11","Q_MMBT5551","SOT-23",140.630000,-74.430000,0.000000,top
"Q12","Q_MMBT5551","SOT-23",157.280000,-71.440000,-90.000000,top
"Q13","Q_MMBT5551","SOT-23",148.300000,-73.920000,0.000000,top
"Q14","Q_MMBT5551","SOT-23",151.692500,-62.990000,0.000000,top
"Q15","Q_MMBT5551","SOT-23",145.572500,-62.990000,0.000000,top
"R1","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.100000,-112.602500,90.000000,top
"R2","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.970000,-109.870000,-90.000000,top
"R3","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.472500,-97.790000,180.000000,top
"R4","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.937500,-105.120000,0.000000,top
"R5","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.927500,-103.760000,0.000000,top
"R6","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.940000,-97.800000,180.000000,top
"R7","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",139.172500,-99.720000,180.000000,top
"R8","R_220_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",137.940000,-74.962500,-90.000000,top
"R9","49.9K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.250000,-116.880000,180.000000,top
"R10","R_100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",165.650000,-60.622500,-90.000000,top
"R11","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.052500,-67.420000,0.000000,top
"R12","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.492500,-67.430000,180.000000,top
"R13","R_100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.285000,-69.445000,90.000000,top
"R14","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",165.860000,-67.700000,90.000000,top
"R15","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",161.260000,-67.570000,90.000000,top
"R16","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.890000,-61.042500,-90.000000,top
"R17","R_100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.407500,-69.250000,90.000000,top
"R18","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",135.210000,-57.420000,90.000000,top
"R19","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",154.770000,-74.452500,-90.000000,top
"R20","R_100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.187500,-72.000000,180.000000,top
"R21","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.740000,-64.437500,-90.000000,top
"R22","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.420000,-74.470000,-90.000000,top
"R23","R_100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.940000,-73.417500,-90.000000,top
"R24","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",154.810000,-70.950000,90.000000,top
"R25","19K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.195000,-115.492500,180.000000,top
"R26","R_10K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.907500,-102.290000,180.000000,top
"R27","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.090000,-59.777500,90.000000,top
"R28","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",152.810000,-58.997500,-90.000000,top
"R29","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.440000,-58.907500,90.000000,top
"R30","R_1K_0402","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.760000,-59.757500,90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",146.855000,-86.500000,90.000000,top
"U3","REG_AMS1117-3.3","SOT-223-3_TabPin2",154.800000,-100.920000,180.000000,top
"U4","REG_MT2492","SOT-23-6_Handsoldering",158.940000,-111.120000,90.000000,top
"U5","CH340T(SSOP20W)","SSOP-20W",138.900000,-105.910000,-90.000000,top
